station_id,station_name,,,
1,Inverness,,,
2,Beauly,,,
3,Muir of Ord,,,
4,Dingwall,,,
5,Alness,,,
6,Invergordon,,,
7,Fearn,,,
8,Tain,,,
9,Ardgay,,,
10,Culrain,,,
11,Invershin,,,
12,Lairg,,,
13,Rogart,,,
14,Golspie,,,
15,Dunrobin Castle,,,
16,Brora,,,
17,Helmsdale,,,
18,Kildonan,,,
19,Kinbrace,,,
20,Forsinard,,,
21,Altnabreac,,,
22,Scotscalder,,,
23,Georgemas Junction,,,
24,Thurso,,,
25,Wick,,,
26,Garve,,,
27,Lochluichart,,,
28,Achanalt,,,
29,Achnasheen,,,
30,Achnashellach,,,
31,Starthcarron,,,
32,Attadale,,,
33,Stromeferry,,,
34,Duncraig,,,
35,Plockton,,,
36,Duirinish,,,
37,Kyle of Lochalsh,,,
38,Armadale (Skye),,,
39,Uig (Skye),,,
40,Lochmaddy (North Uist),,,
41,Tarbert (Harris),,,
42,Canna,,,
43,Eigg,,,
44,Lochboisdale (South Uist),,,
45,Muck,,,
46,Rum,,,
47,Ullapool,,,
48,Stornoway (Lewis),,,
49,Durness,,,
50,Tongue,,,
51,Scrabster,,,
52,Stromness (Orkney),,,
53,Inverness Airport,,,
54,Nairn,,,
55,Forres,,,
56,Elgin,,,
57,Keith,,,
58,Huntly,,,
59,Insch,,,
60,Inverurie,,,
61,Kintore,,,
62,Dyce,,,
63,Aberdeen,,,
64,Portlethen,,,
65,Stonehaven,,,
66,Laurencekirk,,,
67,Montrose,,,
68,Arbroath,,,
69,Carnoustie,,,
70,Golf Street,,,
71,Barry Links,,,
72,Monifieth,,,
73,Balmossie,,,
74,Broughty Ferry,,,
75,Dundee,,,
76,Invergowrie,,,
77,Perth,,,
78,Dunkeld & Birnam,,,
79,Pitlochry,,,
80,Blair Atholl,,,
81,Dalwhinnie,,,
82,Newtonmore,,,
83,Kingussie,,,
84,Aviemore,,,
85,Carrbridge,,,
86,Peterhead,,,
87,Fraserburgh,,,
88,Lossiemouth,,,
89,Kirkwall (Orkney),,,
90,Lerwick (Shetland),,,
91,Mallaig,,,
